reasonable|합리적인
conclude|결론짓다
primitive|원시의,원시적인
anticipate|예상하다,예측하다
assurance|확신
state|상태,국가,국가의
unquestionably|의심할 여지 없이
prescientific|(근대)과학 발생 이전의
bear resemblance to|~와 유사성이 있다
induction|귀납 추리,귀납법
exhibit|보여 주다
absence|결석,없음,부재
in terms of|~의 관점에서
occurence|현상,사건,발생
by means of|~의 도움으로,~에 의해
in combination with|~와 결합하여
initial|초기의
prevail|널리 퍼지다,우세하다
statement|진술,설명
astronomy|천문학
obscure|모호한,무명의,모호하게 하다
central|중심되는,중요한
identity|정체성
elementary|기본적인
water supply|급수,상수도
autobiography|자서전
instructor|강사
drill|연습,훈련
devotion|헌신,몰두,전념
deliberate|의도적인,신중한,숙고하다
face|직면하다
driven|~의 주도의,~의 중심의
fundamental|근본적인
insight|통찰력
device|기기,장치
typical|일반적인
handheld|휴대용의
translate|바꾸다,번역하다
proposition|것,일,문제
comprehend|이해하다,포함하다
ups and downs|기복,고저
reassuring|걱정을 없애 주는
stability|안정감
engage in|~을 하다,~에 참여하다
regulation|규정,규제,단속
rely on|~에 의존하다
count on|~에 의존하다
turn to|~에 의존하다
cue|신호
facilitate|촉진하다
pursuit|추구
incorporate|포함하다,통합하다,설립하다
relieve|완화하다
exhaustion|고갈
bring on|~을 야기하다
afford|제공하다
personalize|개인의 필요에 맞추다
carve out|~을 개척하다
object|물체,(+to)반대하다
leak|새다,누출
