virtue|미덕,선
building block|구성 요소
character|성품,성격
playfulness|장난기
possess|소유하다
capacity|능력
exercise|발휘하다
ethics|윤리학
ethnic|민족의,종족의
excel|탁월하다
differentiate|구별하다
degree|정도
framework|틀
chronic|상습적인,고질적인
entirely|완전히
given|주어진,특정한,~을 고려해 볼 때
genuine|진심 어린,진저한
lie|거짓말하다,눕다
compromise|타협하다,굽히다,타협
negotiate|협상하다,성사시키다
willfully|의도적으로
ignorant|모르는,무지한
admit|인정하다
disinterest|무관심
continuous|지속적인,연속적인
literacy|문해력,읽고 쓰는 능력
flourish|번창하다,활발하다
prosper|번영하다,번창하다
thrive|번영하다,번창하다
thoroughly|철저히,완벽하게
blame|비난하다
after the fact|사후에
inexcusable|변명할 수 없는
valid|타당한
induce|유도하다
mapping|배치
recur|되풀이 되다,재발하다
qualified|자격이 있는,자격증이 있는,적격한
enforce|(법률 등을)집행하다,시행하다,강요하다
strict|엄격한
distribution|배급,배포,유통
executive|경영 간부
tremendously|엄청나게
potential|잠재력,잠재적인
just about|거의
ensure|보장하다
clip|클립,짧은 동영상
restrict|제한하다,한정하다
persuasive|설득력 있는
originality|독창성
