p.1
embarrass|난처하게 하다
cast doubt|의구심을 제기하다
conviction|신념,확신
coverage|보도
feat|뛰어난 재주,뛰어난 솜씨
overcome|극복하다
triumph|이겨 내다
turmoil|혼란
implication|암시
neurological|신경학의
physiological|생리학적인
reasonable|적정한
predictability|예측 가능성
coherence|일관성
metabolic|신진대사의
internal|체내의
resort to|~에 기대다
shrink|줄어들다
exquisitely|극히
repertoire|목록
ambiguous|모호한
universality|보편성,일반성
declare|단언하다,선언하다
unmusical|음악적 소양이 없는,음악을 모르는
in this regard|이런 면에서
contradiction|모순,반박
capacity|능력,용량
perception|지각,인식
factual|사실적인,사실의
ethical|윤리적인,윤리의
mutual|상호의
belonging|소속
offspring|자손
virtuous|덕망 있는
rational|이성적인
altruism|이타심,이타주의
egoism|이기주의,자기중심주의
successor|계승자
dualism|이원론
in consequence|그 결과로
venture|조심스럽게 말하다,조심스럽게 하다
pessimistic|비관적인
immortality|영생
extensive|광범위한
existence|삶,존재

p.2
profession|직업
destructive|파괴적인,부정적인
trait|특성
candidate|후보자
optimistic|낙관적인
possess|(자질.특징을)지니다,갖추고 있다
self-esteem|자아 존중감
exaggerated|과장된
revolve|돌다,회전하다
rationalize|합리화하다
credit|인정,공
assistant|보조원
representative|대표
fit|끼우다,맞추다
replace|대체하다,대신하다
pirate|해적
transform|바꾸다,변형시키다
outlook|관점,시각,전망
vividly|생생하게
minor|대수롭지 않은
comparison|비교
strike up|~을 시작하다
considerable|상당한
adjust|적응하다
patch|안대,패치
reveal|드러내다
identity|정체,신원,신분
subject|연구 대상자
overly|과도하게
pay off|성과를 올리다,성공하다
insight|통찰력
emerge from|~에서 나오다
participant observer|참여 관찰자
badly|형편없이
resident|주민
strive|노력하다
minimize|최소화하다
simultaneously|동시에
midlatitude|중위도의
mask|덮어 가리다
inhibit|방해하다
erosion|침식
mature|다 자란
regeneration|재생
numerous|수많은
checkered|체크무늬의
composed of|~으로 구성된
chronically|만성적으로,질질 시간을 끌어
degrade|(특히 질적으로)저하하다

p.3
deficiency|결함,부족
numerous|무수히 많은
limitation|한계,제한
logical|논리적인
sufficient|충분한
instructions|설명서
self-imposed|스스로 부과한,자진해서 하는
restriction|제한
hold down|~을 낮추다,~을 억제하다
lack|부족,결핍
principle|원리
expert|전문가
