p.1
microscopic|아주 작은,현미경을 사용하는
molecule|분자
particle|입자,먼지
vacuum|공백,진공
immense|헤아릴 수 없는,막대한
vastness|광대함
requisite|필요 조건,필수품,필수의
commercialize|~을 상업화하다
culture|배양하다
entrepreneur|기업가,사업가
discard|버리다,폐기하다
revolutionize|~에 혁명을 일으키다,혁명화하다
executive|실행적
the executive|행정부,집행부
parliament|국회,의회
legislative|입법부의,의회의
straightly|곧게,일직선으로
administration|행정부,경영
authoritarianism|권위주의,독재주의
mobility|이동,이동성,유동성
formalize|공식화하다,형식을 갖추다
legislation|법,법률,법규
make it|성공하다,해내다
complementary|보완적인,상호보완적인
mandate|명령하다,지시하다,의무적인
faraway|먼
overlook|내려다보다,무시하다
fountain|분수
all the while|내내,그동안 쭉
formula|형식적인 문구,상투적인 문구,공식
transaction|교류,거래
verbally|구두로,말로
ritual|(의식적)행사,풍습
urge|재촉하다

p.2
ritualistic|의식의,의례적인
explantation|설명
phenomenon|현상
accidental|우연한
pair|짝을 짓다
release|방출,배출
early on|초기에
reinforce|강화하다
particular|특정한
superstition|미신
hypothesis|가설
regardless of|~와 상관없이
domain|영역,범위
concrete|구체적인
entity|실체,실재물
property|속성,성질
identity|동일성
fundamentally|근본적으로
extension|외연,확장
notion|개념
wholeness|전체
scattered|흩어진,산발적인
portion|부분,일부
criterion|기준
distinctive|구별되는,특색 있는
revive|되살리다
admirable|존경스러운,감탄스러운
reverse|반전시키다
hostility|적대,적의
dominant|지배적인
adopt|채택하다
revitalize|새로운 활력을 주다,재활성화하다
retain|유지하다,보유하다
tide|흐름
brutal|잔인한
intense|극심한,치열한
airwave|방송 전파,채널
salmon|연어
upstream|상류로
vegetation|초목,식물
migrate|이주하다,가다
immigrate|이주하다,오다
ecological|생태적인,생태계의
arch|아치,아치형의 구조물
transport|운반하다
oceanic|바다의

p.3
nutrient|영양분,영양소
scheme|체계,계획
obstacle|장애물
habitat|서식지
impact|영향을 미치다
