p.260
globe|지구,세계,구,지구본
global|세계적인,전 세계의,전반적인
globalization|세계화
hemisphere|(지구 등의)반구
polar|북극의,남극의,극지의,(자석의)양극의,음극의
pole|(천체.전지 등의)극,막대기,장대
arctic|북극,북극 지방,북극의
antarctic|남극,남극 지방,남극의

p.261
continent|대륙,육지,본토
continental|대륙의
marine|바다의,해양의,해병대원
submarine|바닷속의,해저의,잠수함
mediterranean|지중해,지중해의
equator|(지구의)적도
latitude|위도,(행동.사상 등의)자유,허용 범위
longitude|경도

p.262
altitude|고도,해발
atmosphere|대기,공기,분위기
atmospheric|대기의,분위기 있는
aerial|대기의,공기의,공중의,항공의,항공기의
coast|해안,해안지방
inland|내륙에 있는,내륙으로
coastal|해안의,연안의

p.263
offshore|해안의,연안의,국외의,앞바다에,(육지에서)바다로
terrain|지형,지역
horizon|수평선,지평선,(인식.사고 등의)시야
horizontal|수평의,수평선의,가로의
slope|비탈,경사지,경사지게 하다
swamp|늪,습지,(큰 파도 등이)뒤덮다
be swamped with[by]|(일 등이)쇄도하다

p.264
wilderness|황무지,황야,버려진 땅
stream|개울,시내,(계속 이어진)줄,흐름
cliff|(특히 해안의)벼랑,절벽
shore|해안,물가
ashore|해안으로,물가에
shoreline|해안선,물가
pond|(주로 인공으로 만든)연못
cape|곶,갑
bay|만
gulf|만
canyon|깊은 협곡
plateau|고원,높고 편평한 땅
geological|지질학의,지질학상의,지질의
geology|지질학
marble|대리석,구슬

p.265
erode|(비.바람 등이)침식시키다,풍화되다,(서서히)약화시키다
erosion|침식,침식작용
cosmos|(질서를 이룬 체계로서의)우주
cosmic|우주의,무한한
galaxy|은하계,은하수
Mercury|수성
Venus|금성
Earth|지구
Mars|화성
Jupiter|목성
Saturn|토성
Uranus|천왕성
Neptune|해왕성
solar|태양의,태양열을 이용한

p.266
lunar|달의,달의 작용에 의한
eclipse|(해.달의)식,(달.지구 등이 다른 천체를)가리다
satellite|위성,인공위성
comet|혜성
asteroid|소행성
meteor|유성,별똥별
meteoroid|유성체
orbit|궤도,궤도를 돌다

p.267
revolve|(천체가)공전하다,(축을 중심으로)돌다,회전하다
observatory|관측소,천문대,기상대
telescope|망원경
probe|탐사하다,조사하다,캐묻다,조사
space probe|우주 탐사선
spacecraft|우주선
craft|우주선,비행기,선박,수공예,수공예품

p.268
flat|평평한,(땅이)평지인,납작한,바람이 빠진,펑크 난,펑크 난 타이어,(요금.가격 등이)균일한,아파트식 주택
object|물체,사물,목적,목표,(감정.행위 등의)대상,반대하다
object to|~에 반대하다
objective|목적,목표,객관적인
objection|반대,이의
objectively|객관적으로

p.269
subject|주제,화제,과목,학과,대상,소재,연구대상,피실험자,지배하다,지배를 받는,(승인 등을)받아야 하는,신하,~될 수 있는
be subject to|~을 조건으로 하는,(승인 등을)받아야 하는
subjective|주관적인,개인의,개인적인
