p.278
temperate|(기후.지역 등이)온화한,온난한,절제하는,삼가는
humid|(날씨.공기 등이)습한,눅눅한
humidity|습기,습도
rainfall|강우,강우량
precipitation|강수,강수량
breeze|산들바람,미풍
twilight|황혼,땅거미,황혼기,쇠퇴기

p.279
tide|조수
ebb tide|썰물
flood tide|밀물
low tide|간조
high tide|만조
tidal|조수의
catastrophe|대참사,큰 재앙
catastrophic|큰 재앙의,비극적인
shatter|산산이 부수다,파괴하다
volcano|화산
crater|(화산의)분화구
lava|용암
volcanic|화산의,화산 작용에 의한
blaze|활활 타다,빛나다,불꽃,화염,눈부신 빛

p.280
avalanche|눈사태,산사태,(우편물.질문 등의)쇄도
an avalanche of|쇄도하는,많은
landslide|산사태,(선거에서)압도적인 승리
blast|강한 바람,폭발,폭발하다,폭발시키다
drown|익사시키다,물에 빠져 죽다
casualty|사상자,피해자

p.281
evacuate|대피시키다,(위험 지역.건물 등을)비우다
evacuation|대피
exhaust|고갈시키다,다 써버리다,지치게 하다,배기가스
exhaustion|(자원이나 힘을)다 써버림,고갈
contaminate|오염시키다,더럽히다
contamination|오염
pollutant|오염물질,오염원
exhaust fumes|배기가스
fossil|화석

p.282
radioactive|방사능의,방사성의
radioactivity|방사능
by-product|부산물,부작용
disposable|사용 후 버릴 수 있는,일회용의,처분 가능한
rubbish|쓰레기,폐물
dump|(쓰레기 등을)내버리다
landfill|쓰레기 매립,쓰레기 매립지

p.283
sewage|하수,오물
raw sewage|미처리 하수
sewer|하수,하수도,하수관
stink|악취를 풍기다,악취
glacier|빙하
barren|(땅이)불모의,메마른
extinct|(생물.종족 등이)멸종된,(화산 등이)활동을 멈춘
active volcano|활화산
dormant volcano|휴화산
extinction|멸종,소멸

p.284
rainforest|(열대)우림
tropical|열대성의,열대의,열대 지방의
deforestation|삼림 벌채,삼림 파괴
ecology|생태,생태계,생태학
ecological|생태계의,생태학적인
ecologist|생태학자
biodiversity|생물의 다양성
habitat|서식지,거주지
habitable|(장소가)거주할 수 있는,살기에 알맞은
habitant|거주자,주민
habitation|거주,주거

p.285
preserve|보호하다,보존하다
preservation|보호,보존
preservative|방부제
purify|정화하다,깨끗이 하다,정제하다
purification|정화,정제
eco-friendly|환경친화적인
sustainable|(환경 파괴 없이)지속 가능한,오랫동안 지속할 수 있는,오랫동안 유지할 수 있는
