p.316
origin|기원,유래,출신
original|원래의,최초의,독창적인
originality|독창성,기발함
originate|유래하다,시작되다
prehistoric|선사 시대의,역사 기록 이전의
heritage|(국가.사회의)유산,전통
monument|기념물,기념관,유물,유적
commemorate|기념하다
monumental|기념비의,기념이 되는,엄청난,대단한

p.317
archive|기록 보관소,오래된 기록,(기록 보관소 등에)보관하다
milestone|획기적인 사건,중요한 사건
antique|(귀중한)골동품,골동품인,고대의,옛날의
outdated|구식인,시대에 뒤처진
antiquity|고대,고대 유물,옛날
excavate|발굴하다,(구멍 등을)파다
archaeology|고고학
archaeologist|고고학자
archaeological|고고학의

p.318
era|시대,시기
epoch|시대,시기,중요한 사건
ancient|고대의,옛날의,아주 오래된
primitive|원시의,원시사회의,초기의,원시적인
tribe|부족,종족
aboriginal|토착의,(특히 오스트레일리아)원주민,원주민의
nomadic|유목의
tribal|부족의,종족의
ancestor|선조,조상

p.319
civilize/civilise|문명화하다,개화하다
civilization|문명,문명 사회
civilian|민간인,일반 시민,민간인의
civil|문명의,민간의,시민의
temporal|시간의,속세의,현세의,순간적인,일시적인,한때의
spatial|공간의
momentary|순간적인,찰나의
eternal|영원한,영구한,변함없는
eternity|영원,영구
everlasting|영원한,변치 않는,끊임없는

p.320
immortal|불멸의,죽지 않는
immortality|불사,불멸
holy|신성한,성스러운,독실한,경건한
sacred|신성한,성스러운,종교적인
divine|신성한,성스러운,신의
divinity|신성,신,신학
glory|(신에 대한)찬양,영광,영예
glorious|영광스러운

p.321
sin|(종교.도덕상의)죄,죄악
devil|악마,사탄,마귀
theology|신학
prophecy|(특히 종교적인)예언,예언력
prophet|예언자
prophetic|예언의,예언적인
superstition|미신
taboo|금기,터부
superstitious|미신을 믿는,미신적인

p.322
worship|예배,숭배,예배하다,숭배하다
revere|숭배하다
ritual|(종교상의)의식,의례,(항상 하는)의례적인 일,의식의,의례적인
bible|(기독교의)성서,(유대교의)경전
persecution|(특히 종교상의)박해,학대
doctrine|(종교상의)교리,정책
creed|(종교적)교리,신념,원칙
sermon|설교,훈계

p.323
preach|설교하다,전도하다
saint|성인,성자,성인과 같은 사람
priest|사제,신부,성직자
monk|수도자,수도승
monastery|수도원
pope|교황
pastor|목사
nun|수녀,여승
clergy|(집합적)성직자
clergyman|(한 사람의)성직자,목사
temple|신전,사원,절
cathedral|대성당,큰 예배당
chapel|예배당,예배실

p.324
appreciate|(제대로)인식하다,깨닫다,감상하다,진가를 알아보다,고마워하다
appreciation|이해,평가,감상,감사
charge|책임을 맡기다,(사람.일에 대한)책임,담당,기소,고소,기소하다,고소하다,공격,돌격,공격하다,돌격하다,(요금.값을)청구하다,(상품.서비스에 대한)요금,신용카드로 사다,(외상으로)달아놓다,(전기를)충전하다
free of charge|무료로
in charge of|담당해서,~을 맡아서

p.325
discharge|(기체.액체.에너지 등을)흘리다,방출하다,방전하다,석방하다,퇴원시키다,제대시키다,해고하다
