p.332
index|지표,지수,색인
boom|호황,(갑작스러운)인기,쾅하고 울리는 소리,호황을 누리다
soar|(물가 등이)급등하다,(하늘 높이)치솟다
surge|(물가 등이)급등하다,밀려들다,급등,밀려듦
plunge|(물가 등이)급락하다,떨어지다,뛰어들다,급락
slump|(가치.수량.가격 등이)급감하다,급감,폭락,불황,슬럼프

p.333
inflation|인플레이션,물가상승,팽창
inflate|가격을 올리다,팽창시키다
fluctuate|계속해서 변동하다,오르내리다
fund|자금,자금을 대다
asset|자산,재산
sum|액수,총합,합계

p.334
profit|이익,이득
make a profit|이익을 내다
profitable|수익성이 있는,유익한
profitability|수익성
revenue|수입,수익,세입
margin|이윤,이익,(책 페이지의)여백,(득표수 등의)차이
marginal|가장자리의,중요하지 않은
surplus|흑자,과잉,과잉의
commission|수수료,위원회
cutback|(비용.인원 등의)축소,삭감

p.335
tax|세금
levy|(가장 일반적인 의미의)세금
duty|(일반적인)세금
customs|관세
tariff|관세
monetary|통화의,화폐의
deposit|예금하다,(특히 안전한 곳에)맡기다,침전시키다,예금,보증금,침전물
overdraw|(예금보다)초과 인출하다
debt|채무,빚
debtor|채무자
loan|대출,대출금,빌려주다

p.336
mortgage|담보 대출,담보 대출금,저당 잡히다
bank account|은행 예금 계좌
ATM(automated teller machine)|현금 자동 지급기
debit card|직불카드
credit card|신용카드
cash card|캐시카드,현금카드
exchange rate|외환 시세,환율
face value|액면가
token|(화폐 대용으로 쓰는)토큰,선불권,표시
commerce|상업,무역
commercial|상업의,상업적인,(TV.라디오)광고
transaction|거래,매매,업무 처리,처리
transact|거래하다,처리하다
retail|소매,소매의,소매로 팔다
retailer|소매업자

p.337
import|수입하다,수입,수입품
barter|물물교환하다,물물교환
monopoly|(시장의)독점,전매
auction|경매,경매로 팔다
bid|(특히 경매에서)입찰하다,값을 부르다,입찰
bazaar|바자,바자회

p.338
vendor|노점상,행상인
vend|팔다,팔리다
merchandise|(매매한)물품,상품
merchant|상인,무역상
goods|상품,제품
commodity|상품,물품,원자재,(유용한)것
wares|(특히 길거리 등에서 파는)물건,상품
warehouse|창고
stock|재고품,주식,저장하다,비축하다
out of stock|재고가 떨어진
inventory|물품 목록,재고품

p.339
bargain|(정상가보다)싸게 사는 물건,흥정,흥정하다
warrant|(품질 등을)보증하다,보증,보증서
warranty|품질 보증,품질 보증서
brochure|(안내.광고용)책자
withdraw|철회하다,중단하다,철수하다,탈퇴하다,기권하다,인출하다
withdrawal|(제공.지원의)중단,철회,(군대의)철수,탈퇴,기권,(예금)인출
