p.360
statesman|(경험 많고 존경받는)정치가
regime|(특히 비민주적인)정권,제도,체제
propaganda|선전
propagate|퍼뜨리다,전파하다,번식시키다
dynasty|왕가,왕조

p.361
throne|왕좌,왕위
realm|(지식.활동 등의)영역,범위,왕국
monarchy|군주제,군주국
monarch|군주,제왕
democracy|민주주의,민주국가
democratic|민주주의의,민주적인
communism|공산주의
communist|공산주의자,공산주의의
socialism|사회주의
socialist|사회주의자,사회주의의
republicanism|공화주의
republican|공화주의자,공화국의,공화주의의
totalitarianism|전체주의
totalitarian|전체주의의
bureaucracy|관료,관료 체제,관료국가
autocracy|독재정치,독재주의 국가
anarchism|무정부주의
anarchy|무정부 상태,정치적 혼란,사회적 혼란
anarchist|무정부주의자,무정부주의의
capitalism|자본주의
capitalist|자본주의자,자본가
authoritarian|권위주의적인
authoritative|(정보 등이)권위 있는,(태도 등이)권위적인
municipal|지방 자치제의,시의

p.362
reign|통치하다,지배하다,통치,통치 기간
federal|연방제의,연방정부의
autonomy|자치권,자율,자율성
autonomous|자주적인,자치의,자율적인
sovereign|(국가가)자주적인,독립된,최고 권력을 지닌,군주,국왕
sovereignty|(국가의)독립,통치권
tyrant|폭군,독재자,폭군 같은 사람
tyranny|폭정,압제,독재,독재국가

p.363
slogan|(정당.광고 등의)구호,슬로건
scheme|(정부나 정당의)계획,책략,계획하다,책략을 꾸미다
nominate|(중요 지위.수상자 등의 후보자로)지명하다,(어떤 일을 하도록)임명하다
nomination|지명,임명
parliament|의회,국회
council|(지방 자치 단체의)의회
chairperson|(회의.위원회.조직 등의)의장,회장
preside|(회의 등을)주도하다,사회를 보다
forum|토론회,토론의 장

p.364
agenda|의제,안건
chamber|(특정 목적의)실,(의회의)회의실
elect|선거하다,선출하다
election|선거,당선
ballot|무기명 투표,비밀 투표,투표용지,무기명 투표를 하다
mandate|권한을 주다,지시하다,명령하다,(선거에 의해 정부다 정당에 주어진)권한,지시
mandatory|의무적인,강제적인

p.365
rally|(특히 정치적)집회,(지지를 위해)결집하다,단결하다
rebel|반란을 일으키다,반항하다,저항하다,반역자
rebellion|반란,반항,저항
rebellious|반역하는,반항하는,저항하는
revolt|반란,폭동,반란을 일으키다,폭동을 일으키다
riot|폭동,폭동을 일으키다
mob|폭도,군중,무리,떼 지어 몰려들다
intrigue|(정치적인)모의,음모,음모를 꾸미다,강한 흥미를 불러일으키다
intriguing|흥미 있는
overthrow|(정부.제도 등을)뒤엎다,전복시키다,전복,타도

p.366
exile|추방하다,유배하다,추방,망명,망명자
assassination|암살
assassinate|암살하다
assassin|암살범
ambassador|대사,대표,사절
embassy|대사관
diplomat|외교관
diplomacy|외교,외교술
diplomatic|외교의,외교적 수완이 있는

p.367
delegate|(집단의 의사를 대표하는)대표자,사절,대표로 임명하다
counterpart|상대,대응 관계에 있는 사람
ally|동맹국,연합국,동맹시키다
alliance|동맹,연합
treaty|조약,협정
summit|정상 회담,꼭대기,정상

p.368
bar|막대기,막대기 모양의 것,술집,바,(특정 음식.음료를 파는)전문점,변호사,변호사직,법정,장애,장애물,막다,금하다
party|(공동의 목적을 가진)일행,단체,파티,모임,(정치)정당,(계약)당사자

p.369
term|기간,학기,임기,용어,말,조건,조항,관점,면,관계,사이
in terms of|~의 관점에서,~의 면에서
