p.370
corporation|(큰 규모의)기업,회사
corporate|기업의
incorporate|(법인 회사를)설립하다,포함하다
incorporation|설립,포함
incorporated|법인의
enterprise|기업,회사,(대규모)사업,진취성
enterprising|진취력이 있는
enterpreneur|기업가,사업가
merge|합병하다,합치다
affiliate|제휴하다,연계하다,계열사
merger|(조직.사업체의)합병

p.371
headquarters|본사,본부
executive|임원,경영진,행정부,경영의,행정의,집행의
legislature|입법부
judiciary|사법부
chief executive officer(CEO)|최고 경영자
execute|실행하다,수행하다,처형하다,사형하다
execution|실행,수행,처형,사형
subordinate|부하,하급자,하급의,부수적인,부차적인,~보다 아래에 두다
be subordinate to|~의 하위에 있다,~에 비해 부차적이다
personnel|(조직의)인원,직원들,인사과

p.372
vocation|천직,직업,소명,소명 의식,사명감
vocational|직업의,직업과 관련된
occupation|직업
career|직업,경력
profession|전문직
calling|소명,소명 의식
recruit|모집하다,뽑다,신입사원,신병
recruitment|채용,신규 모집
resume|이력서,다시 시작하다
resumption|재개,다시 시작함
qualify|자격을 주다,자격을 얻다
qualification|자격,자격증
qualified|자격이 있는,자격증이 있는,적임의

p.373
designate|지정하다,지적하다,(특정한 직책에)지명하다,(직책에)지명된
inaugural|취임의,취임식의,첫
resign|사직하다,사임하다
resign oneself to A|(체념하여)A를 받아들이다
resignation|사직,사직서,사임,체념
wage(s)|(시간.주 등의 단위로 받는)임금,급료
incentive|우대책,장려,장려금,동기부여
pay(check)|급료
salary|(특히 월 단위로 지급되는)급여,월급
payoff|급료 지급,급료 지급일
earnings|소득,수입
pension|연금
bonus|보너스,상여금,덤

p.374
confidential|기밀의,비밀의,신뢰받는,신임하는
confidentiality|기밀,비밀
seal|직인,도장,바다표범,봉하다
justice|정의,공정,정당성,사법,재판,재판관
charter|헌장,선언문
decree|법령,판결
authorize|권한을 부여하다,허가하다
authorization|허가,허가증
authoritarian|권위주의의,독재주의의,권위주의자,독재주의자
authoritative|(정보 등이)권위 있는,(태도 등이)권위적인

p.375
sanction|허가,승인,제재,처벌,허가하다,승인하다,제재를 가하다
oblige|의무적으로 ~하게 하다,강요하다
be obliged to-v|v해야만 한다
obligation|의무
obligatory|의무적인
ban|(공식적으로)금지하다,금지
prohibit|(법률.권한에 따라)금지하다
prohibit A from v-ing|A가 v하는 것을 금지하다
prohibition|금지,금지법
condemn|비난하다,규탄하다,선고를 내리다

p.376
legislate|입법하다,법률을 제정하다
legislation|입법,법률 제정
legalize|합법화하다
legalization|합법화
amend|(법안 등을)개정하다,고치다
amendment|개정,수정,수정안
abolish|(법.제도 등을)폐지하다
abolishment|폐지
copyright|저작권,판권

p.377
patent|특허,특허권,특허를 받다
uphold|(법.제도 등을)지키다,지지하다,유지하다,(판결 등을)확인하다,인정하다
legitimate|법률의,법률상의,합법적인,정당한,타당한
comply|(법.명령 등을)준수하다,따르다
violate|위반하다,침해하다
violation|위반,침해

p.378
infringe|(법률 등을)위반하다,(법적 권리를)침해하다
infringement|(법규)위반,(특허권 등의)침해
liable|법적 책임이 있는,~하기 쉬운
be liable to-v|v하기 쉬운,v할 것 같은
liability|법적 책임
apply|지원하다,신청하다,적용하다,응용하다,바르다
apply for[to]|~에 지원하다,신청하다
apply A to B|A를 B에 적용하다,A를 B에 바르다
application|지원,지원서,신청,신청서,적용,응용,(약 등을)바름,도포
applicant|지원자
appliance|(특히 가정용)기기
applicable|적용할 수 있는,해당하는

p.379
promote|촉진하다,장려하다,홍보하다,승진시키다,진급시키다
promotion|촉진,홍보,승진
promotional|홍보의
project|과제,계획,계획하다,예상하다,추정하다,비추다,투영하다
be projected to-v|v할 것으로 예상되다,v할 것으로 추정되다
projection|예상,추정,투영
projector|프로젝터,영사기
