p.450
arouse|(감정.태도 등을)불러일으키다,자극하다,(잠에서)깨우다
invoke|(느낌을)불러일으키다,(법 등을)적용하다
provoke|(감정 등을)불러일으키다,유발하다
manifest|(감정.태도 등을)분명히 나타내다,분명한,명백한
outburst|(감정의)폭발,분출,(특정 활동의)급격한 증가

p.451
agreeable|기분 좋은,쾌활한,기꺼이 동의하는,알맞은
grin|(이를 드러내고)씩 웃다,활짝 웃다
giggle|낄낄 웃다,키득거리다
rejoice|크게 기뻐하다
ecstasy|황홀,황홀감,무아의 경지
grief|비탄,큰 슬픔
grieve|비탄하다,몹시 슬퍼하다

p.452
weep|울다,눈물을 흘리다
lament|슬퍼하다,한탄하다,애도
mourn|(죽음을)슬퍼하다,애도하다
wail|(슬픔.통증으로)통곡하다,울부짖다,통곡,울부짖음
sob|흐느껴 울다,흐느끼다
miserable|비참한,불쌍한,괴로운
melancholy|우울,우울한,울적한

p.453
distress|고통,괴로움,곤궁,빈곤,괴롭히다,고민하게 하다
agony|극심한 고통,극심한 괴로움
in agony|몹시 괴로워하여
groan|(고통.짜증으로)신음하다,끙끙거리다,신음
moan|신음하다,불평하다
console|위로하다,위안을 주다
consolation|위로,위안,위안을 주는 것
dismay|당황하게 하다,크게 실망시키다,당황,실망

p.454
perplex|당혹케 하다,난처하게 하다
perplexed|당혹스러운,난처한
flush|얼굴이 붉어지다,(변기의)물을 내리다,홍조,물 내림
astonish|깜짝 놀라게 하다
astonishment|깜짝 놀람
astonishing|깜짝 놀랄 만한
astonished|깜짝 놀란
stun|놀라게 하다,(때려서)기절시키다,실신시키다
stunning|깜짝 놀랄,멋진
affection|애정,애착

p.455
bond|유대감을 형성하다,접착시키다,유대,결속,접착제,채권
enchant|황홀하게 하다,매혹하다,마술을 걸다
enchantment|매혹,매력,마법,마법에 걸린 상태
hail|찬사를 보내다,우박이 쏟아지다,우박
hilarious|재미있는,우스운
nostalgia|향수,옛날을 그리워함
nostalgic|향수의,옛날을 그리워하는

p.456
displease|불쾌하게 하다,기분 상하게 하다
displeasure|불쾌감,불만
haunt|(특히 불쾌한 생각이)계속 떠오르다,(오랫동안)괴롭히다,(유령 등이)출몰하다
dreadful|몹시 불쾌한,끔찍한
dread|두려워하다,염려하다
terror|(극심한)공포,두려움
creepy|오싹한,소름 끼치는
hideous|끔찍한,흉측한
shudder|(공포.추위 등으로)몸을 떨다,몸서리치다
detest|몹시 싫어하다,혐오하다
detestation|혐오
hatred|증오,혐오
have a hatred for|~를 증오하다,~를 혐오하다

p.457
glare|노려보다,눈부시게 빛나다,노려봄,눈부신 빛
rage|격노,격노하다,몹시 화내다
enrage|격분하게 만들다
revenge|복수,보복
take revenge on[against]|~에게 복수하다
content|내용,내용물,함유량,함량,목차,만족하는,만족시키다,만족
contentment|만족,만족감
